商品名,评论内容,评论时间
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        不能在苏宁易购下单，商品包装是拆封，內部流程很混乱，各部门踢皮球，拒收的商品，还扣了1千多元，莫名其妙，闹心下次还是到实体店或者有責任心的商家去买
                                                        ",2018-04-15 17:13:52
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        sf saf 史蒂夫案事发时飞洒
                                                        ",2018-03-24 08:09:38
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        打开快递箱，密封条是被撕开的，我已无力吐槽，退货吧，谁知道有没有问题，是不是别人退回来的
                                                        ",2018-03-02 22:37:41
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        就送一个电池，而且还是32的内存卡，连个相机包木有，没有人性话的购物，最起码你的买回来有个地方装相机吧？相机噪音特别大，感觉是咔嚓咔嚓，菜刀那种声音！还没有仔细研究本身有没有问题！真心一般……
                                                        ",2018-02-07 17:55:52
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        指示灯忽闪。咋回事。没有售后的
                                                        ",2018-02-07 16:35:03
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        包装被拆封，说好了不拆封又拆，说多都是泪，售后不用想
                                                        ",2018-01-24 14:16:01
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        苏宁第一次极差的体验，赠品的影子都没见着，么的送请不要写上，不要以赠完来敷衍顾客，呵呵
                                                        ",2018-01-24 12:13:25
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        这个型号机手机上都找不到，买到手就不给退，那谁还会买，
                                                        ",2018-01-22 19:01:20
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        好想骂人，才刚收到货电池就充不进电开不了机了，找客服直接丢个电话给我，又不让我退货，还叫我自己去找鉴定才能和我愉快玩耍，大哥，我才收到货还没开机就要自己去找什么鬼鉴定了。。你们这样的服务很快完蛋的
                                                        ",2018-01-21 12:01:05
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        开始激动，后来伤心，再后来就只剩无奈了，花几千块钱弄了一肚子气，很郁闷。我给大家说一说来龙去脉，好不让更多的人被坑。苏宁物流人员把相机暂存在了韵达快递。我去取的时候，上面的封条是未开封的，可底部的封条已经被撕开了。打电话给快递员，快递员说是途中颠簸，受力所致，绝不是人为的。由于时间紧迫，就签收了。之后跟客服咨询，给了一个很无语很充分的理由，送货的师傅要开箱验货的，所以要开封包装箱。后来电话和客服沟通要退货，说已开封已签收就不能退货了，还要安排专员来检验，感觉好麻烦就没有再退货。吃了哑巴亏，如果有计划要在这里买相机的话要慎重哦！确实是开封机，js。
                                                        ",2018-01-13 19:19:43
